Datetime,BTNXX,INDEA,INDNE,INDNO,INDSO,INDWE,BGDXX,BRBXX,COLXX,FJIXX,GMBXX,GHAXX,HNDXX,MDGXX,PAKXX,PHLXX,TZAXX,CPVXX,SLBXX
02/08/2015 08:00,29.8,22.9,26.5,30.7,28.2,37.3,0.458,0,0,0,0.176,0.288,0,0.781,0.575,0.063,0.709,0.097,0
02/08/2015 09:00,22.5,16.9,19.3,27,22.7,31.3,0.336,0,0,0,0.333,0.412,0,0.772,0.482,0.006,0.719,0.269,0
02/08/2015 10:00,13.6,10.7,11.8,21,15.4,23.3,0.209,0.047,0,0,0.466,0.492,0,0.718,0.37,0,0.7,0.432,0
02/08/2015 11:00,5.3,4.7,4.4,13.4,7.8,13.8,0.073,0.18,0.043,0,0.545,0.519,0,0.617,0.234,0,0.642,0.556,0
02/08/2015 12:00,0.2,0.5,0.3,5.6,1.7,5.2,0,0.327,0.17,0,0.569,0.508,0.081,0.459,0.101,0,0.483,0.633,0
02/08/2015 13:00,0,0,0,0.6,0,0.4,0,0.455,0.306,0,0.579,0.465,0.204,0.24,0.01,0,0.308,0.664,0
02/08/2015 14:00,0,0,0,0,0,0,0,0.54,0.413,0,0.51,0.378,0.316,0.006,0,0,0.132,0.646,0
02/08/2015 15:00,0,0,0,0,0,0,0,0.579,0.473,0,0.416,0.277,0.436,0,0,0,0,0.579,0
02/08/2015 16:00,0,0,0,0,0,0,0,0.569,0.493,0,0.306,0.139,0.544,0,0,0,0,0.465,0
02/08/2015 17:00,0,0,0,0,0,0,0,0.518,0.463,0,0.176,0.033,0.568,0,0,0,0,0.311,0
02/08/2015 18:00,0,0,0,0,0,0,0,0.428,0.412,0,0.05,0,0.559,0,0,0,0,0.142,0
02/08/2015 19:00,0,0,0,0,0,0,0,0.304,0.329,0.086,0,0,0.494,0,0,0,0,0.019,0
02/08/2015 20:00,0,0,0,0,0,0,0,0.161,0.221,0.219,0,0,0.39,0,0,0,0,0,0.042
02/08/2015 21:00,0,0,0,0,0,0,0,0.038,0.106,0.344,0,0,0.237,0,0,0,0,0,0.126
02/08/2015 22:00,0,0,0,0,0,0,0,0,0.011,0.451,0,0,0.113,0,0,0.023,0,0,0.188
02/08/2015 23:00,0.4,0,0.1,0,0,0,0,0,0,0.498,0,0,0.019,0,0,0.08,0,0,0.211
03/08/2015 00:00,7.7,2.5,4.5,0.2,0.5,0.1,0.085,0,0,0.479,0,0,0,0,0,0.141,0,0,0.224
03/08/2015 01:00,20.2,9.4,13,5.8,4.9,4.1,0.245,0,0,0.434,0,0,0,0,0.046,0.186,0,0,0.239
03/08/2015 02:00,34.5,17.7,21.9,16.7,13,13.4,0.388,0,0,0.35,0,0,0,0,0.169,0.221,0,0,0.226
03/08/2015 03:00,48.4,25.6,29.2,27.6,20.7,23.1,0.468,0,0,0.236,0,0,0,0.043,0.316,0.227,0,0,0.191
03/08/2015 04:00,55.4,32.1,34,35.7,26.5,31.5,0.539,0,0,0.107,0,0,0,0.341,0.441,0.215,0.158,0,0.133
03/08/2015 05:00,52.9,34.8,37.2,41.1,30.2,37.3,0.538,0,0,0.004,0,0,0,0.541,0.528,0.195,0.415,0,0.074
03/08/2015 06:00,43.5,34.8,37.9,43.2,31.3,40,0.531,0,0,0,0,0.019,0,0.675,0.554,0.167,0.581,0,0.014
03/08/2015 07:00,35.1,32.3,34.2,42.6,30.4,39.4,0.504,0,0,0,0.043,0.119,0,0.756,0.534,0.124,0.69,0.005,0
03/08/2015 08:00,28.7,27.8,28.6,39.1,26.5,35.7,0.439,0,0,0,0.171,0.239,0,0.79,0.48,0.066,0.75,0.096,0
03/08/2015 09:00,21.4,21.6,21.5,32.8,19.9,29.2,0.333,0,0,0,0.295,0.344,0,0.779,0.416,0.009,0.769,0.268,0
03/08/2015 10:00,11.9,13.7,12.3,24.4,12.7,21.2,0.198,0.044,0,0,0.411,0.423,0,0.724,0.333,0,0.748,0.433,0
03/08/2015 11:00,4.5,6.2,4.8,14.7,6.5,12,0.065,0.181,0.027,0,0.497,0.463,0,0.62,0.22,0,0.688,0.558,0
03/08/2015 12:00,0.1,0.7,0.3,5.7,1.4,4.7,0,0.328,0.119,0,0.565,0.43,0.061,0.463,0.098,0,0.574,0.639,0
03/08/2015 13:00,0,0,0,0.6,0,0.4,0,0.469,0.206,0,0.558,0.424,0.168,0.244,0.01,0,0.419,0.667,0
03/08/2015 14:00,0,0,0,0,0,0,0,0.563,0.301,0,0.507,0.347,0.276,0.007,0,0,0.211,0.647,0
03/08/2015 15:00,0,0,0,0,0,0,0,0.609,0.374,0,0.405,0.249,0.363,0,0,0,0.004,0.578,0
03/08/2015 16:00,0,0,0,0,0,0,0,0.597,0.41,0,0.291,0.136,0.439,0,0,0,0,0.465,0
03/08/2015 17:00,0,0,0,0,0,0,0,0.563,0.402,0,0.158,0.036,0.467,0,0,0,0,0.311,0
03/08/2015 18:00,0,0,0,0,0,0,0,0.471,0.34,0,0.039,0,0.468,0,0,0,0,0.141,0
03/08/2015 19:00,0,0,0,0,0,0,0,0.344,0.257,0.089,0,0,0.428,0,0,0,0,0.016,0
03/08/2015 20:00,0,0,0,0,0,0,0,0.187,0.161,0.204,0,0,0.334,0,0,0,0,0,0.029
03/08/2015 21:00,0,0,0,0,0,0,0,0.044,0.075,0.301,0,0,0.229,0,0,0,0,0,0.105
03/08/2015 22:00,0,0,0,0,0,0,0,0,0.006,0.392,0,0,0.142,0,0,0.038,0,0,0.179
03/08/2015 23:00,0,0,0.2,0,0,0,0,0,0,0.428,0,0,0.028,0,0,0.133,0,0,0.23
04/08/2015 00:00,2.6,3.2,5.3,0.2,0.3,0.1,0.082,0,0,0.435,0,0,0,0,0,0.231,0,0,0.268
04/08/2015 01:00,8.9,12.1,14.9,5.7,4.8,3.4,0.237,0,0,0.403,0,0,0,0,0.038,0.297,0,0,0.291
04/08/2015 02:00,17.2,22.7,24.7,16.3,13.2,11.1,0.39,0,0,0.334,0,0,0,0,0.145,0.318,0,0,0.282
04/08/2015 03:00,25.6,31.1,32.7,27.1,22,20,0.518,0,0,0.235,0,0,0,0.037,0.29,0.312,0,0,0.241
04/08/2015 04:00,32.5,36.9,36.2,35.5,28.6,27.6,0.592,0,0,0.117,0,0,0,0.332,0.448,0.291,0.149,0,0.18
04/08/2015 05:00,31.1,39.3,38.5,40.9,32.9,32.5,0.607,0,0,0.006,0,0,0,0.541,0.545,0.255,0.395,0,0.102
04/08/2015 06:00,33.1,38.3,38.8,43.9,34.4,35.1,0.608,0,0,0,0,0.03,0,0.677,0.61,0.201,0.577,0,0.023
04/08/2015 07:00,33,35.5,35.6,43.3,32.9,34.8,0.557,0,0,0,0.028,0.149,0,0.762,0.624,0.132,0.685,0.002,0
04/08/2015 08:00,30.3,31,29.4,39.8,29,31.7,0.478,0,0,0,0.132,0.286,0,0.798,0.593,0.061,0.746,0.088,0
04/08/2015 09:00,24.4,24.3,21.8,33.5,22.4,26.4,0.353,0,0,0,0.23,0.396,0,0.789,0.522,0.007,0.763,0.232,0
04/08/2015 10:00,15.4,15.6,13.4,24,14.2,19.2,0.191,0.041,0,0,0.298,0.466,0,0.734,0.408,0,0.742,0.407,0
04/08/2015 11:00,6,6.8,5,14.1,6.8,11,0.065,0.151,0.029,0,0.345,0.482,0,0.63,0.265,0,0.683,0.53,0
04/08/2015 12:00,0.2,0.8,0.3,5.4,1.4,4,0,0.287,0.119,0,0.366,0.438,0.094,0.472,0.116,0,0.578,0.609,0
04/08/2015 13:00,0,0,0,0.5,0,0.3,0,0.394,0.195,0,0.353,0.375,0.262,0.252,0.013,0,0.426,0.641,0
04/08/2015 14:00,0,0,0,0,0,0,0,0.421,0.259,0,0.327,0.285,0.417,0.01,0,0,0.22,0.634,0
04/08/2015 15:00,0,0,0,0,0,0,0,0.422,0.324,0,0.286,0.179,0.529,0,0,0,0.005,0.578,0
04/08/2015 16:00,0,0,0,0,0,0,0,0.385,0.373,0,0.23,0.098,0.592,0,0,0,0,0.465,0
04/08/2015 17:00,0,0,0,0,0,0,0,0.328,0.391,0,0.137,0.026,0.604,0,0,0,0,0.311,0
04/08/2015 18:00,0,0,0,0,0,0,0,0.264,0.359,0,0.042,0,0.576,0,0,0,0,0.142,0
04/08/2015 19:00,0,0,0,0,0,0,0,0.183,0.281,0.081,0,0,0.502,0,0,0,0,0.016,0
04/08/2015 20:00,0,0,0,0,0,0,0,0.104,0.196,0.201,0,0,0.394,0,0,0,0,0,0.073
04/08/2015 21:00,0,0,0,0,0,0,0,0.025,0.096,0.311,0,0,0.267,0,0,0,0,0,0.223
04/08/2015 22:00,0,0,0,0,0,0,0,0,0.01,0.415,0,0,0.136,0,0,0.025,0,0,0.376
04/08/2015 23:00,0.2,0,0.2,0,0,0,0,0,0,0.457,0,0,0.025,0,0,0.089,0,0,0.497
05/08/2015 00:00,5.5,2.8,5,0.2,0.4,0.1,0.022,0,0,0.457,0,0,0,0,0,0.15,0,0,0.591
05/08/2015 01:00,14.3,11.6,13.8,5.9,5.4,3,0.078,0,0,0.42,0,0,0,0,0.048,0.202,0,0,0.611
05/08/2015 02:00,24.4,21.5,22.3,17,14.1,9.8,0.151,0,0,0.372,0,0,0,0,0.183,0.234,0,0,0.576
05/08/2015 03:00,34,29.8,28.9,27.8,22.9,18.1,0.216,0,0,0.251,0,0,0,0.048,0.339,0.255,0,0,0.523
05/08/2015 04:00,33.1,35.1,33.1,36.1,29.5,26.7,0.274,0,0,0.112,0,0,0,0.339,0.473,0.253,0.142,0,0.421
05/08/2015 05:00,29.7,38.2,34.6,41.5,33.6,32,0.312,0,0,0.005,0,0,0,0.539,0.567,0.233,0.397,0,0.262
05/08/2015 06:00,27.7,38.4,33.9,43.7,34.9,35.3,0.321,0,0,0,0,0.011,0,0.67,0.616,0.194,0.571,0,0.081
05/08/2015 07:00,24.3,36.4,31.1,43.1,33.7,35.7,0.298,0,0,0,0.041,0.077,0,0.751,0.622,0.141,0.684,0.004,0
05/08/2015 08:00,19.7,31.4,27.1,39.6,29,33.3,0.249,0,0,0,0.169,0.17,0,0.786,0.583,0.063,0.747,0.1,0
05/08/2015 09:00,14.6,24.3,21.3,32.9,22.7,27.5,0.182,0,0,0,0.313,0.304,0,0.778,0.476,0.006,0.765,0.26,0
05/08/2015 10:00,8.8,15.9,13.8,24,15.4,20.6,0.105,0.04,0,0,0.431,0.43,0,0.723,0.382,0,0.745,0.418,0
05/08/2015 11:00,3.5,7,5.1,14.4,7.8,12.5,0.032,0.152,0.017,0,0.51,0.445,0,0.62,0.235,0,0.683,0.537,0
05/08/2015 12:00,0.1,0.8,0.2,5.7,1.6,4.6,0,0.265,0.083,0,0.549,0.441,0.075,0.462,0.107,0,0.573,0.61,0
05/08/2015 13:00,0,0,0,0.5,0,0.3,0,0.381,0.163,0,0.539,0.434,0.196,0.243,0.011,0,0.419,0.629,0
05/08/2015 14:00,0,0,0,0,0,0,0,0.431,0.249,0,0.48,0.374,0.315,0.008,0,0,0.21,0.601,0
05/08/2015 15:00,0,0,0,0,0,0,0,0.445,0.326,0,0.368,0.226,0.408,0,0,0,0.003,0.537,0
05/08/2015 16:00,0,0,0,0,0,0,0,0.446,0.396,0,0.223,0.093,0.442,0,0,0,0,0.424,0
05/08/2015 17:00,0,0,0,0,0,0,0,0.406,0.459,0,0.126,0.016,0.447,0,0,0,0,0.28,0
05/08/2015 18:00,0,0,0,0,0,0,0,0.34,0.461,0,0.032,0,0.405,0,0,0,0,0.128,0
05/08/2015 19:00,0,0,0,0,0,0,0,0.245,0.389,0.043,0,0,0.343,0,0,0,0,0.013,0
05/08/2015 20:00,0,0,0,0,0,0,0,0.111,0.276,0.119,0,0,0.255,0,0,0,0,0,0.127
05/08/2015 21:00,0,0,0,0,0,0,0,0.02,0.136,0.226,0,0,0.175,0,0,0,0,0,0.296
05/08/2015 22:00,0,0,0,0,0,0,0,0,0.019,0.36,0,0,0.091,0,0,0.015,0,0,0.429
05/08/2015 23:00,0,0,0.3,0,0,0,0,0,0,0.435,0,0,0.012,0,0,0.061,0,0,0.517
06/08/2015 00:00,2.4,2.8,5.5,0.1,0.4,0.1,0.038,0,0,0.405,0,0,0,0,0,0.112,0,0,0.558
06/08/2015 01:00,7.2,12.3,14.7,5.7,6.5,4.3,0.111,0,0,0.38,0,0,0,0,0.046,0.169,0,0,0.572
06/08/2015 02:00,13.1,22.6,22.5,16.7,16.7,13.6,0.175,0,0,0.309,0,0,0,0,0.18,0.221,0,0,0.539
06/08/2015 03:00,20.1,30.6,29.1,27.6,26.2,23.5,0.182,0,0,0.176,0,0,0,0.045,0.338,0.263,0,0,0.465
06/08/2015 04:00,24.7,35.8,32.2,35.8,32.8,32,0.181,0,0,0.063,0,0,0,0.327,0.474,0.264,0.144,0,0.347
06/08/2015 05:00,26.1,37.7,31.5,40.8,36.6,37.9,0.166,0,0,0,0,0,0,0.529,0.571,0.241,0.386,0,0.196
06/08/2015 06:00,25.8,37.3,27.6,42,37.1,41.1,0.192,0,0,0,0,0.021,0,0.665,0.615,0.209,0.569,0,0.057
06/08/2015 07:00,24.1,34.2,22.7,39.5,35.7,41.1,0.27,0,0,0,0.032,0.136,0,0.75,0.625,0.147,0.683,0.002,0
06/08/2015 08:00,18.9,28.9,18.1,35.5,31.3,37.9,0.28,0,0,0,0.155,0.276,0,0.787,0.592,0.066,0.747,0.09,0
06/08/2015 09:00,13.3,21.8,12.9,28.9,24.4,31.7,0.23,0,0,0,0.312,0.405,0,0.781,0.521,0.006,0.765,0.229,0
06/08/2015 10:00,7.5,14.4,7.8,22.3,16.5,23.7,0.133,0.035,0,0,0.447,0.491,0,0.725,0.406,0,0.74,0.381,0
06/08/2015 11:00,2.8,6.6,2.8,13.8,7.8,14.1,0.039,0.139,0.029,0,0.541,0.52,0,0.62,0.26,0,0.678,0.509,0
06/08/2015 12:00,0,0.7,0.1,5.5,1.5,5.2,0,0.257,0.129,0,0.579,0.517,0.08,0.46,0.111,0,0.571,0.578,0
06/08/2015 13:00,0,0,0,0.5,0,0.3,0,0.355,0.258,0,0.565,0.467,0.217,0.239,0.01,0,0.416,0.623,0
06/08/2015 14:00,0,0,0,0,0,0,0,0.42,0.378,0,0.491,0.392,0.343,0.008,0,0,0.212,0.605,0
06/08/2015 15:00,0,0,0,0,0,0,0,0.452,0.471,0,0.362,0.26,0.435,0,0,0,0.005,0.539,0
06/08/2015 16:00,0,0,0,0,0,0,0,0.47,0.52,0,0.232,0.134,0.496,0,0,0,0,0.438,0
06/08/2015 17:00,0,0,0,0,0,0,0,0.444,0.511,0,0.122,0.03,0.527,0,0,0,0,0.281,0
06/08/2015 18:00,0,0,0,0,0,0,0,0.388,0.481,0,0.032,0,0.531,0,0,0,0,0.128,0
06/08/2015 19:00,0,0,0,0,0,0,0,0.289,0.409,0.059,0,0,0.497,0,0,0,0,0.015,0
06/08/2015 20:00,0,0,0,0,0,0,0,0.168,0.285,0.176,0,0,0.404,0,0,0,0,0,0.113
06/08/2015 21:00,0,0,0,0,0,0,0,0.045,0.136,0.3,0,0,0.291,0,0,0,0,0,0.284
06/08/2015 22:00,0,0,0,0,0,0,0,0,0.019,0.426,0,0,0.153,0,0,0.032,0,0,0.436
06/08/2015 23:00,0,0,0.2,0,0,0,0,0,0,0.518,0,0,0.028,0,0,0.092,0,0,0.567
07/08/2015 00:00,3.1,2.6,3.3,0.1,0.4,0.1,0.048,0,0,0.545,0,0,0,0,0,0.156,0,0,0.65
07/08/2015 01:00,9.6,11.2,8.9,5.4,5.5,4.2,0.161,0,0,0.489,0,0,0,0,0.047,0.224,0,0,0.686
07/08/2015 02:00,17.1,20.6,14.5,15.9,15.1,13.6,0.316,0,0,0.365,0,0,0,0,0.182,0.269,0,0,0.657
07/08/2015 03:00,23.6,28,19.4,26.4,24,23.7,0.463,0,0,0.213,0,0,0,0.059,0.338,0.296,0,0,0.582
07/08/2015 04:00,31.2,33.2,23.6,34.4,30.6,32.4,0.573,0,0,0.087,0,0,0,0.366,0.473,0.297,0.125,0,0.478
07/08/2015 05:00,35.1,36.4,26.5,39.5,34.9,38.4,0.618,0,0,0.001,0,0,0,0.568,0.567,0.267,0.399,0,0.32
07/08/2015 06:00,35.4,35.7,26,41.5,36.2,41.6,0.575,0,0,0,0,0.017,0,0.702,0.613,0.234,0.567,0,0.115
07/08/2015 07:00,34.5,32.7,23.8,40.8,34.6,41.1,0.493,0,0,0,0.035,0.103,0,0.782,0.62,0.173,0.672,0.002,0
07/08/2015 08:00,28.5,27.4,20,37.4,30.2,37.3,0.309,0,0,0,0.153,0.22,0,0.813,0.578,0.094,0.729,0.074,0
07/08/2015 09:00,20.8,20,14.2,30.9,23,30.2,0.188,0,0,0,0.288,0.356,0,0.798,0.433,0.014,0.74,0.201,0
07/08/2015 10:00,12.7,12.4,8.2,22,14.9,21.3,0.164,0.039,0,0,0.422,0.408,0,0.739,0.328,0,0.711,0.316,0
07/08/2015 11:00,4.7,5.2,3,12.1,7,12.3,0.051,0.135,0.041,0,0.507,0.331,0,0.632,0.207,0,0.637,0.478,0
07/08/2015 12:00,0.1,0.5,0.1,4.1,1.4,4.4,0,0.217,0.168,0,0.531,0.285,0.078,0.471,0.085,0,0.503,0.575,0
07/08/2015 13:00,0,0,0,0.3,0,0.3,0,0.287,0.311,0,0.555,0.283,0.213,0.249,0.005,0,0.355,0.611,0
07/08/2015 14:00,0,0,0,0,0,0,0,0.309,0.44,0,0.538,0.249,0.342,0.01,0,0,0.147,0.598,0
07/08/2015 15:00,0,0,0,0,0,0,0,0.342,0.525,0,0.466,0.19,0.436,0,0,0,0,0.547,0
07/08/2015 16:00,0,0,0,0,0,0,0,0.334,0.556,0,0.341,0.1,0.499,0,0,0,0,0.437,0
07/08/2015 17:00,0,0,0,0,0,0,0,0.31,0.547,0,0.187,0.023,0.523,0,0,0,0,0.291,0
07/08/2015 18:00,0,0,0,0,0,0,0,0.232,0.491,0.002,0.052,0,0.5,0,0,0,0,0.135,0
07/08/2015 19:00,0,0,0,0,0,0,0,0.141,0.399,0.153,0,0,0.438,0,0,0,0,0.016,0
07/08/2015 20:00,0,0,0,0,0,0,0,0.069,0.261,0.351,0,0,0.343,0,0,0,0,0,0.087
07/08/2015 21:00,0,0,0,0,0,0,0,0.013,0.127,0.54,0,0,0.228,0,0,0,0,0,0.233
07/08/2015 22:00,0,0,0,0,0,0,0,0,0.014,0.642,0,0,0.118,0,0,0.013,0,0,0.37
07/08/2015 23:00,0.2,0,0,0,0,0,0,0,0,0.696,0,0,0.021,0,0,0.067,0,0,0.49
08/08/2015 00:00,5.3,2.6,2.1,0.1,0.3,0.1,0.072,0,0,0.679,0,0,0,0,0,0.165,0,0,0.563
08/08/2015 01:00,13.4,10.5,6.4,5,4.9,3.8,0.219,0,0,0.589,0,0,0,0,0.042,0.271,0,0,0.585
08/08/2015 02:00,22.1,19.8,11.4,14.9,13.5,12.7,0.331,0,0,0.476,0,0,0,0,0.157,0.355,0,0,0.556
08/08/2015 03:00,31.1,27.9,16,25,22.5,22.5,0.398,0,0,0.309,0,0,0,0.046,0.305,0.402,0,0,0.498
08/08/2015 04:00,35.4,32.9,19.6,33,28.8,30.5,0.461,0,0,0.14,0,0,0,0.336,0.421,0.41,0.129,0,0.403
08/08/2015 05:00,39.8,34.7,22.2,38.2,31.8,36,0.51,0,0,0.012,0,0,0,0.544,0.475,0.383,0.362,0,0.26
08/08/2015 06:00,40.9,33.8,23,40.2,31.9,38.1,0.507,0,0,0,0,0.028,0,0.682,0.499,0.327,0.552,0,0.088
08/08/2015 07:00,37.7,31.5,22.3,40.1,30.2,37.2,0.46,0,0,0,0.041,0.138,0,0.763,0.528,0.237,0.663,0.003,0
08/08/2015 08:00,32.5,26.7,19.4,37.1,26.4,33.2,0.37,0,0,0,0.159,0.253,0,0.794,0.489,0.115,0.727,0.097,0
08/08/2015 09:00,23.9,20.2,14.4,31,20.5,25.1,0.245,0,0,0,0.28,0.343,0,0.784,0.431,0.018,0.723,0.234,0
08/08/2015 10:00,14.1,13,9.2,23.4,13.9,17.6,0.14,0.025,0,0,0.378,0.393,0,0.724,0.346,0,0.699,0.365,0
08/08/2015 11:00,5.3,5.6,3.8,14,7.2,9.8,0.04,0.106,0.02,0,0.468,0.423,0,0.614,0.221,0,0.608,0.468,0
08/08/2015 12:00,0.1,0.5,0.2,5.4,1.6,3.4,0,0.193,0.106,0,0.484,0.428,0.066,0.452,0.095,0,0.48,0.527,0
08/08/2015 13:00,0,0,0,0.5,0,0.2,0,0.285,0.23,0,0.489,0.389,0.179,0.23,0.009,0,0.298,0.529,0
08/08/2015 14:00,0,0,0,0,0,0,0,0.358,0.374,0,0.471,0.303,0.284,0.008,0,0,0.097,0.507,0
08/08/2015 15:00,0,0,0,0,0,0,0,0.398,0.49,0,0.415,0.22,0.355,0,0,0,0,0.436,0
08/08/2015 16:00,0,0,0,0,0,0,0,0.39,0.529,0,0.32,0.12,0.403,0,0,0,0,0.35,0
08/08/2015 17:00,0,0,0,0,0,0,0,0.346,0.517,0,0.185,0.032,0.428,0,0,0,0,0.233,0
08/08/2015 18:00,0,0,0,0,0,0,0,0.274,0.456,0.003,0.052,0,0.417,0,0,0,0,0.113,0
08/08/2015 19:00,0,0,0,0,0,0,0,0.196,0.37,0.162,0,0,0.354,0,0,0,0,0.011,0
08/08/2015 20:00,0,0,0,0,0,0,0,0.12,0.252,0.366,0,0,0.269,0,0,0,0,0,0.141
08/08/2015 21:00,0,0,0,0,0,0,0,0.035,0.13,0.526,0,0,0.169,0,0,0,0,0,0.341
08/08/2015 22:00,0,0,0,0,0,0,0,0,0.017,0.629,0,0,0.08,0,0,0.057,0,0,0.508
08/08/2015 23:00,0.2,0,0.3,0,0,0,0,0,0,0.683,0,0,0.01,0,0,0.194,0,0,0.623
09/08/2015 00:00,6.3,2.4,5.3,0.1,0.4,0.1,0.074,0,0,0.701,0,0,0,0,0,0.341,0,0,0.685
09/08/2015 01:00,17.8,10.2,14,4.8,5.5,3.3,0.232,0,0,0.654,0,0,0,0,0.016,0.457,0,0,0.69
09/08/2015 02:00,31.9,19.4,23.4,14.6,14.5,10.7,0.392,0,0,0.563,0,0,0,0,0.071,0.527,0,0,0.66
09/08/2015 03:00,42.5,27.2,30.5,24.7,23.5,19.7,0.51,0,0,0.417,0,0,0,0.032,0.106,0.563,0,0,0.577
09/08/2015 04:00,48.1,32.9,34.9,32.6,30.9,27.6,0.574,0,0,0.22,0,0,0,0.297,0.164,0.561,0.151,0,0.448
09/08/2015 05:00,52,35.3,36.6,37.7,35.3,32.7,0.576,0,0,0.025,0,0,0,0.515,0.236,0.517,0.404,0,0.28
09/08/2015 06:00,50.6,34.8,34.1,40,36.1,35.8,0.542,0,0,0,0,0.023,0,0.671,0.3,0.431,0.571,0,0.088
09/08/2015 07:00,44.8,32.4,30.9,39.3,33.6,36,0.473,0,0,0,0.04,0.141,0,0.753,0.329,0.314,0.682,0.003,0
09/08/2015 08:00,36.2,27.8,25,36.1,28.2,33.3,0.378,0,0,0,0.183,0.287,0,0.787,0.314,0.17,0.746,0.097,0
09/08/2015 09:00,26.6,21.1,17.6,30.2,21.5,27.6,0.272,0,0,0,0.338,0.405,0,0.777,0.255,0.033,0.759,0.226,0
09/08/2015 10:00,15.9,13.4,10.3,22.9,14.5,19.9,0.16,0.04,0,0,0.461,0.486,0,0.721,0.19,0,0.737,0.386,0
09/08/2015 11:00,6.5,5.6,3.7,13.9,7.2,11.7,0.053,0.164,0.041,0,0.526,0.522,0,0.616,0.116,0,0.675,0.499,0
09/08/2015 12:00,0.2,0.5,0.1,5.4,1.4,4.3,0,0.31,0.167,0,0.512,0.515,0.038,0.451,0.048,0,0.565,0.588,0
09/08/2015 13:00,0,0,0,0.4,0,0.3,0,0.449,0.291,0,0.44,0.464,0.129,0.229,0,0,0.406,0.636,0
09/08/2015 14:00,0,0,0,0,0,0,0,0.558,0.395,0,0.321,0.367,0.246,0.007,0,0,0.196,0.613,0
09/08/2015 15:00,0,0,0,0,0,0,0,0.62,0.466,0,0.209,0.25,0.356,0,0,0,0.002,0.549,0
09/08/2015 16:00,0,0,0,0,0,0,0,0.627,0.513,0,0.142,0.105,0.431,0,0,0,0,0.438,0
09/08/2015 17:00,0,0,0,0,0,0,0,0.583,0.502,0,0.082,0.019,0.466,0,0,0,0,0.293,0
09/08/2015 18:00,0,0,0,0,0,0,0,0.488,0.45,0.014,0.025,0,0.465,0,0,0,0,0.139,0
09/08/2015 19:00,0,0,0,0,0,0,0,0.354,0.369,0.23,0,0,0.426,0,0,0,0,0.015,0
09/08/2015 20:00,0,0,0,0,0,0,0,0.193,0.265,0.432,0,0,0.345,0,0,0,0,0,0.159
09/08/2015 21:00,0,0,0,0,0,0,0,0.045,0.13,0.58,0,0,0.243,0,0,0,0,0,0.353
09/08/2015 22:00,0,0,0,0,0,0,0,0,0.017,0.676,0,0,0.124,0,0,0.069,0,0,0.502
09/08/2015 23:00,0.4,0,0.2,0,0,0,0,0,0,0.728,0,0,0.022,0,0,0.214,0,0,0.591
10/08/2015 00:00,10.1,2.8,4.1,0.1,0.2,0.1,0.071,0,0,0.728,0,0,0,0,0,0.361,0,0,0.612
10/08/2015 01:00,25.7,11.4,10.5,4.5,3.7,3.4,0.223,0,0,0.685,0,0,0,0,0.044,0.482,0,0,0.568
10/08/2015 02:00,39.8,20.9,17.5,13.2,11.2,11.8,0.382,0,0,0.591,0,0,0,0,0.192,0.561,0,0,0.447
10/08/2015 03:00,52.2,28.4,22.8,21.4,19.4,20.4,0.513,0,0,0.443,0,0,0,0.048,0.367,0.587,0,0,0.325
10/08/2015 04:00,57.5,33.8,27.3,29.5,25.6,27.6,0.606,0,0,0.242,0,0,0,0.337,0.511,0.582,0.073,0,0.236
10/08/2015 05:00,54.5,36.6,29.5,36.9,29.1,32.5,0.648,0,0,0.033,0,0,0,0.545,0.609,0.533,0.268,0,0.17
10/08/2015 06:00,47.7,36.2,28.2,39.7,30.6,34.7,0.637,0,0,0,0,0.029,0,0.684,0.645,0.44,0.543,0,0.054
10/08/2015 07:00,36.7,33.8,26.6,39.9,28.4,34.2,0.599,0,0,0,0.04,0.147,0,0.767,0.651,0.314,0.675,0.003,0
10/08/2015 08:00,27.3,27.6,22.9,37.7,24.4,31.4,0.512,0,0,0,0.169,0.286,0,0.798,0.613,0.165,0.742,0.101,0
10/08/2015 09:00,18.5,19.4,16.8,32.8,19.1,26.4,0.388,0,0,0,0.301,0.42,0,0.783,0.508,0.031,0.763,0.28,0
10/08/2015 10:00,10.9,11.5,9.8,25,12.8,19.6,0.233,0.035,0,0,0.41,0.522,0,0.722,0.372,0,0.74,0.442,0
10/08/2015 11:00,4,4.7,3.4,15.1,6.3,11.4,0.077,0.199,0.033,0,0.485,0.555,0,0.611,0.241,0,0.679,0.563,0
10/08/2015 12:00,0,0.4,0.1,5.7,1.3,4.1,0,0.368,0.139,0,0.543,0.549,0.074,0.446,0.103,0,0.571,0.632,0
10/08/2015 13:00,0,0,0,0.4,0,0.3,0,0.501,0.243,0,0.546,0.497,0.208,0.222,0.007,0,0.418,0.658,0
10/08/2015 14:00,0,0,0,0,0,0,0,0.592,0.319,0,0.499,0.416,0.335,0.007,0,0,0.203,0.64,0
10/08/2015 15:00,0,0,0,0,0,0,0,0.636,0.366,0,0.416,0.291,0.442,0,0,0,0.003,0.575,0
10/08/2015 16:00,0,0,0,0,0,0,0,0.636,0.399,0,0.297,0.157,0.521,0,0,0,0,0.46,0
10/08/2015 17:00,0,0,0,0,0,0,0,0.588,0.388,0,0.164,0.032,0.558,0,0,0,0,0.306,0
10/08/2015 18:00,0,0,0,0,0,0,0,0.498,0.343,0.01,0.044,0,0.552,0,0,0,0,0.138,0
